,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VFL 2026 STAGE 1 PRICE TOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,D,I,C,S,,,,,,,,,,,,
,Confirmed Change,Rumourmil,,Viper Senti,Avg. Cost,9.091666667,,Avg. Cost Aim,,9.09,,5,11.21,7.72,8.07,8.83,,,,,,,,,,,,
,Player Info,,,,Stage 1,,Santiago,,,,,Kickoff Stats,,,,,,,,,,,,,,,,
,Player,Team,Region,Position,Position,Final Cost,Price,Wk Avg.,PPG,VLR R,KPR,Price,3 Game,PPG,VLR R,KPR,,,,,,,,,,,,
,Marteen,Gentle Mates,EMEA,Duelist,D,15,11.5,26.50,13.25,1.41,0.95,10.00,61,16.20,1.27,0.91,,,,,,,,,,,,
,Dambi,Nongshim RedForce,PAC,Duelist,D,15,11.5,26.00,13.00,1.11,0.85,11.00,50,16.00,1.11,0.86,,,,,,,,,,,,
,Kaajak,FNATIC,EMEA,Duelist,D,14.5,,,,,,15.00,36,9,0.95,0.73,,,,,,,,,,,,
,aspas,MIBR,AMER,Duelist,D,14.5,,,,,,15.00,32,10,0.98,0.72,,,,,,,,,,,,
,mada,NRG Esports,AMER,Duelist,D,14.5,10.5,19.67,9.71,1,0.74,14.50,40,9.67,1.08,0.78,,,,,,,,,,,,
,Derke,Team Vitality,EMEA,Duelist,D,14,,,,,,14.00,50,10.83,1.11,0.82,,,,,,,,,,,,
,Alfajer,FNATIC,EMEA,Sentinel,S,13.5,,,,,,14.50,51,12.43,1.17,0.84,,,,,,,,,,,,
,Primmie,FULL SENSE,PAC,Duelist,D,13.5,,,,,,13.00,52,11.40,1.23,0.95,,,,,,,,,,,,
,jawgemo,G2 Esports,EMEA,Duelist,D,13.5,9.5,21.00,10.57,1.04,0.84,14.00,43,10.00,0.85,0.65,,,,,,,,,,,,
,t3xture,Gen.G,PAC,Duelist,D,13.5,,,,,,14.50,33,9.25,0.98,0.78,,,,,,,,,,,,
,Jinggg,Paper Rex,PAC,Duelist,D,13.5,9.5,19.33,8.00,1.02,0.74,14.50,34,8.86,1.04,0.74,,,,,,,,,9.03,8.5,9.09,8.31
,something,Paper Rex,PAC,Duelist,D,13.5,10.5,23.00,9.25,1.03,0.71,15.00,38,8.14,0.94,0.69,,,,,,,,,230,61,184,61
,Jemkin,Rex Regum Qeon,PAC,Duelist,D,13.5,,,,,,13.50,43,11.60,1.13,0.82,,,,,,,,,2,,1,
,f0rsaken,Paper Rex,PAC,Controller,C,13.5,11.5,20.67,8.75,0.96,0.71,14.00,57,11.43,1.09,0.8,,,,,,,,,3,,2,
,Lovers rock,BBL Esports,EMEA,Duelist,D,13,11,20.00,7.00,0.93,0.68,9.50,51,15.25,1.18,0.89,,,,,,,,,5,,3,
,OXY,Cloud9,AMER,Sentinel,D,13,,,,,,14.00,45,8.60,1.06,0.85,,,,,,,,,5,,4,
,Meiy,Detonation FocusMe,PAC,Duelist,D,13,,,,,,12.50,35,7.86,1.09,0.85,,,,,,,,,7,,5,
,HYUNMIN,DRX,PAC,Duelist,D,13,,,,,,14.00,38,10.00,1.05,0.81,,,,,,,,,8,1,6,1
,Sato,LEVIATÁN,AMER,Duelist,D,13,,,,,,14.00,34,6.80,0.9,0.69,,,,,,,,,10,2,7,2
,iZu,T1,PAC,Duelist,D,13,10,19.00,8.67,1.14,0.87,11.50,49,12.33,1.14,0.82,,,,,,,,,10,2,8,2
,leaf,G2 Esports,AMER,Sentinel,S,12.5,9.5,16.00,8.29,0.99,0.72,13.00,44,11.20,1.04,0.73,,,,,,,,,12,3,10,3
,koalanoob,FURIA,AMER,Duelist,D,12.5,10,11.00,5.50,0.9,0.68,6.50,47,14.25,1.16,0.86,,,,,,,,,13,3,12,3
,Miniboo,Team Liquid,EMEA,Duelist,D,12.5,9.5,13.00,4.67,0.81,0.65,12.50,47,10.75,1.09,0.81,,,,,,,,,15,4,13,4
,valyn,G2 Esports,EMEA,Controller,C,12.5,10,13.67,7.43,1.04,0.66,11.50,47,11.60,1.18,0.81,,,,,,,,,15,5,15,5
,Zekken,MIBR,AMER,Duelist/Controller,C,12.5,,,,,,13.50,35,10,1.03,0.69,,,,,,,,,20,5,15,5
,Keiko,NRG Esports,AMER,Controller,C,12.5,9,21.33,10.57,1.11,0.79,13.50,38,8.83,1.07,0.73,,,,,,,,,15,5,15,5
,Meteor,T1,PAC,Sentinel,S,12,10,14.00,5.00,0.77,0.6,13.00,49,11.67,1.05,0.82,,,,,,,,,15,6,13,6
,Timotino,100 Thieves,AMER,Duelist,D,12,,,,,,10.50,41,8.75,0.93,0.75,,,,,,,,,13,7,12,7
,Lar0k,BBL Esports,EMEA,Duelist,D,12,10,21.00,8.00,1.07,0.78,8.50,44,13.00,1.07,0.81,,,,,,,,,12,6,10,6
,Francis,Nongshim RedForce,PAC,Duelist,D,12,9,23.00,11.50,1.08,0.78,8.00,36,11.25,0.94,0.71,,,,,,,,,10,4,8,4
,BuZz,T1,PAC,Duelist,D,12,10,17.00,6.67,0.98,0.76,13.50,46,12.00,1,0.78,,,,,,,,,10,3,7,3
,hiro,Natus Vincere,EMEA,Sentinel,S,11.5,,,,,,9.50,43,9.80,1.3,0.87,,,,,,,,,10,2,6,3
,Chronicle,Team Vitality,EMEA,Sentinel,S,11.5,,,,,,11.00,42,9.67,1.12,0.76,,,,,,,,,8,2,5,2
,invy,Paper Rex,PAC,Initiator,I,11.5,8.5,23.67,9.38,1.07,0.7,11.00,36,8.29,1.05,0.68,,,,,,,,,7,1,4,
,BABYBAY,G2 Esports,EMEA,Duelist,D,11.5,9,14.67,7.00,0.87,0.61,9.00,43,11.00,1.1,0.78,,,,,,,,,5,,3,
,Neon,LEVIATÁN,AMER,Duelist,D,11.5,,,,,,10.00,28,7.67,1.14,0.76,,,,,,,,,,,,
,Comeback,Team Heretics,EMEA,Duelist,D,11.5,,,,,,12.50,36,7.33,0.99,0.75,,,,,,,,,,,,
,kamo,Team Liquid,EMEA,Initiator,D,11.5,8.5,13.00,5.00,0.9,0.7,9.00,49,10.25,0.99,0.71,,,,,,,,,,,,
,Ruxic,Natus Vincere,EMEA,Sentinel,C,11.5,,,,,,11.50,34,7.80,1.08,0.74,,,,,,,,,,,,
,d4v41,Paper Rex,PAC,Sentinel,S,11,8,22.00,9.63,1.08,0.77,11.50,37,8.14,0.93,0.66,,,,,,,,,,,,
,nAts,Team Liquid,EMEA,Sentinel,S,11,9.5,12.00,4.67,0.94,0.68,12.50,49,10.63,1.06,0.74,,,,,,,,,,,,
,trent,G2 Esports,EMEA,Initiator,I,11,8.5,16.67,8.43,1.15,0.69,10.50,35,9.40,1.09,0.69,,,,,,,,,,,,
,RieNs,Team Heretics,EMEA,Initiator,I,11,,,,,,12.50,29,6.17,0.97,0.72,,,,,,,,,,,,
,Keznit,ENVY,AMER,Duelist,D,11,,,,,,11.50,32,7.80,1.01,0.75,,,,,,,,,,,,
,dgzin,Evil Geniuses,AMER,Duelist,D,11,,,,,,10.50,42,10.40,1.22,0.89,,,,,,,,,,,,
,Autumn,Global Esports,PAC,Duelist,D,11,,,,,,9.50,39,11.00,1.1,0.8,,,,,,,,,,,,
,DanteDeu5,KRÜ Esports,AMER,Duelist,D,11,,,,,,10.50,0,0.00,0,0,,,,,,,,,,,,
,Jerrwin,Sentinels,AMER,Duelist,D,11,,,,,,0.00,0,0.00,0,0,,,,,,,,,,,,
,Reduxx,Sentinels,AMER,Duelist,D,11,,,,,,10.50,25,6.25,0.95,0.68,,,,,,,,,,,,
,Cryocells,100 Thieves,AMER,Sentinel,S,10.5,,,,,,11.00,44,9.38,1.1,0.8,,,,,,,,,,,,
,Minny,Gentle Mates,EMEA,Sentinel,S,10.5,9.5,13.50,6.75,0.94,0.63,8.00,44,13.60,1.15,0.79,,,,,,,,,,,,
,Wo0t,Team Heretics,EMEA,Duelist,I,10.5,,,,,,13.50,23,5.17,0.96,0.65,,,,,,,,,,,,
,xeus,FUT Esports,EMEA,Duelist,D,10.5,,,,,,10.50,23,7.67,0.98,0.76,,,,,,,,,,,,
,ara,GIANTX,EMEA,Duelist,D,10.5,,,,,,13.00,29,5.40,0.9,0.66,,,,,,,,,,,,
,LewN,Karmine Corp,EMEA,Duelist,D,10.5,,,,,,11.50,37,10.00,1,0.77,,,,,,,,,,,,
,ExiT,Natus Vincere,EMEA,Duelist,D,10.5,,,,,,0.00,0,0.00,0,0,,,,,,,,,,,,
,Veqaj,FNATIC,EMEA,Sentinel,C,10.5,,,,,,8.50,45,10.43,1.1,0.76,,,,,,,,,,,,
,Demon1,ENVY,AMER,Sentinel,S,10,,,,,,,37,12.33,1.13,0.85,,,,,,,,,,,,
,Karon,Gen.G,PAC,Sentinel,S,10,,,,,,9.50,33,9.50,1.15,0.76,,,,,,,,,,,,
,Ivy,NOngshim RedForce,PAC,Sentinel,S,10,7,26.00,13.00,1.1,0.77,7.00,34,10.00,1.05,0.68,,,,,,,,,,,,
,eeiu,FURIA,AMER,Initiator,I,10,7.5,19.00,9.50,1.24,0.88,7.00,30,9.50,1.05,0.65,,,,,,,,,,,,
,Xross,Nongshim RedForce,PAC,Initiator,I,10,7,22.00,11.00,1.14,0.73,7.50,37,11.00,1.06,0.64,,,,,,,,,,,,
,Sayonara,Team Vitality,EMEA,Initiator,I,10,,,,,,8.00,28,5.50,0.83,0.51,,,,,,,,,,,,
,Alym,FURIA,AMER,Duelist,D,10,7.5,11.00,5.50,0.76,0.62,9.50,35,10.75,0.93,0.69,,,,,,,,,,,,
,bipo,Gentle Mates,EMEA,Duelist,D,10,8.5,11.00,5.50,0.78,0.6,10.50,43,11.80,0.97,0.73,f,,,,,,,,,,,
,Patmen,Global Esports,PAC,Controller,C,10,,,,,,7.50,48,12.00,1.14,0.83,,,,,,,,,,,,
,Rb,Nongshim RedForce,PAC,Controller,C,10,8,16.50,8.25,0.95,0.59,7.50,39,11.25,1.12,0.68,,,,,,,,,,,,
,Lukxo,LOUD,AMER,Sentinel,S,9.5,,,,,,10.50,17,5.67,1.13,0.83,,,,,,,,,,,,
,skuba,NRG Esports,AMER,Sentinel,S,9.5,8,21.33,9.86,1.1,0.76,9.50,33,8.83,1.07,0.66,,,,,,,,,,,,
,Verno,MIBR,AMER,Initiator,I,9.5,,,,,,10.00,30,9.4,1.09,0.71,,,,,,,,,,,,
,brawk,NRG Esports,AMER,Initiator,I,9.5,8.5,13.33,6.43,0.95,0.58,10.50,39,9.00,1.09,0.67,,,,,,,,,,,,
,Penny,Cloud9,AMER,Duelist,D,9.5,,,,,,8.50,36,7.43,0.95,0.69,,,,,,,,,,,,
,Zexy,VARREL,PAC,Duelist,D,9.5,,,,,,10.50,24,8.00,1,0.82,,,,,,,,,,,,
,Udotan,Global Esports,PAC,Sentinel,S,9,,,,,,10.50,43,10.17,0.99,0.74,,,,,,,,,,,,
,SUYGETSU,Karmine Corp,EMEA,Sentinel,S,9,,,,,,10.50,24,7.25,1.02,0.7,,,,,,,,,,,,
,benjyfishy,Team Heretics,EMEA,Sentinel,S,9,,,,,,9.00,40,8.00,1.04,0.75,,,,,,,,,,,,
,Crashies,FNATIC,EMEA,Initiator,I,9,,,,,,10.00,39,8.86,1.03,0.69,,,,,,,,,,,,
,ZynX,Gen.G,PAC,Duelist,D,9,,,,,,9.50,34,9.00,0.94,0.76,,,,,,,,,,,,
,Filu,Natus Vincere,EMEA,Duelist,D,9,,,,,,9.00,31,6.40,0.84,0.68,,,,,,,,,,,,
,Mazino,MIBR,AMER,Controller,C,9,,,,,,8.00,37,9.6,0.97,0.69,,,,,,,,,,,,
,Monyet,Rex Regum Qeon,PAC,Duelist,C,9,,,,,,8.50,31,8.40,0.87,0.65,,,,,,,,,,,,
,JohnQT,Sentinels,AMER,Controller,C,9,,,,,,7.50,44,11.00,1.28,0.79,,,,,,,,,,,,
,Westside,GIANTX,EMEA,Sentinel,S,8.5,,,,,,8.50,30,5.60,0.94,0.69,,,,,,,,,,,,
,Less,KRÜ Esports,AMER,Sentinel,S,8.5,,,,,,9.50,0,0.00,0,0,,,,,,,,,,,,
,Xffero,Rex Regum Qeon,PAC,Sentinel,S,8.5,,,,,,7.50,33,8.80,1.07,0.7,,,,,,,,,,,,
,Cortezia,Sentinels,AMER,Sentinel,S,8.5,,,,,,10.50,15,4.25,0.85,0.59,,,,,,,,,,,,
,N4RRATE,Karmine Corp,EMEA,Initiator,I,8.5,,,,,,12.00,20,5.50,0.8,0.62,,,,,,,,,,,,
,Jamppi,Team Vitality,EMEA,Initiator,I,8.5,,,,,,8.00,34,7.67,0.96,0.73,,,,,,,,,,,,
,Yatsuka,Detonation FocusMe,PAC,Duelist,D,8.5,,,,,,6.00,33,6.00,0.93,0.67,,,,,,,,,,,,
,virtyy,LOUD,AMER,Duelist,D,8.5,,,,,,9.50,8,2.67,0.75,0.64,,,,,,,,,,,,
,eko,ZETA DIVISION,PAC,Duelist,D,8.5,,,,,,8.50,22,5.50,0.95,0.74,,,,,,,,,,,,
,bang,100 Thieves,AMER,Controller,C,8.5,,,,,,7.50,35,7.75,1.1,0.68,,,,,,,,,,,,
,Loita,BBL Esports,EMEA,Controller,C,8.5,8.5,18.00,6.67,1.05,0.7,8.00,35,10.50,1.11,0.68,,,,,,,,,,,,
,MaKo,DRX,PAC,Controller,C,8.5,,,,,,8.50,30,7.83,1.05,0.72,,,,,,,,,,,,
,wayne,Team Liquid,EMEA,Controller,C,8.5,7,14.00,5.33,0.92,0.66,9.00,38,8.57,1.06,0.69,,,,,,,,,,,,
,PROFEK,Team Vitality,EMEA,Controller,C,8.5,,,,,,9.00,30,6.67,0.96,0.63,,,,,,,,,,,,
,Spike,LEVIATÁN,AMER,Sentinel,S,8,,,,,,8.50,23,4.60,0.81,0.59,,,,,,,,,,,,
,Tex,MIBR,AMER,Sentinel,S,8,,,,,,8.00,28,7.2,0.82,0.6,,,,,,,,,,,,
,Asuna,100 Thieves,AMER,Initiator,I,8,,,,,,8.00,23,5.50,0.97,0.58,,,,,,,,,,,,
,Killua,FULL SENSE,PAC,Initiator,I,8,,,,,,8.50,32,7.00,1.05,0.73,,,,,,,,,,,,
,cloud,GIANTX,EMEA,Initiator,I,8,,,,,,8.00,39,7.40,0.97,0.7,,,,,,,,,,,,
,Avez,Karmine Corp,EMEA,Duelist,I,8,,,,,,10.50,21,6.75,0.96,0.7,,,,,,,,,,,,
,ethan,NRG Esports,AMER,Initiator,I,8,7,15.00,6.86,0.88,0.58,9.50,30,6.67,0.89,0.58,,,,,,,,,,,,
,Kushy,Rex Regum Qeon,PAC,Initiator,I,8,,,,,,7.50,36,8.80,0.97,0.63,,,,,,,,,,,,
,JonahP,Sentinels,AMER,Initiator,I,8,,,,,,0.00,0,0.00,0,0,,,,,,,,,,,,
,Izzy,Eternal Fire,EMEA,Duelist,D,8,,,,,,0.00,0,0.00,0,0,,,,,,,,,,,,
,Okeanos,Evil Geniuses,AMER,Duelist,D,8,,,,,,9.00,24,6.20,0.88,0.64,,,,,,,,,,,,
,v1c,Cloud9,AMER,Controller,C,8,,,,,,8.50,36,8.29,1.08,0.7,,,,,,,,,,,,
,artzin,FURIA,AMER,Controller,C,8,6.5,12.00,6.00,0.89,0.65,6.00,35,10.50,1.06,0.69,,,,,,,,,,,,
,Dos9,Karmine Corp,EMEA,Controller,C,8,,,,,,8.50,30,8.00,1.1,0.72,,,,,,,,,,,,
,kingg,LEVIATÁN,AMER,Controller,C,8,,,,,,8.00,29,6.40,1.01,0.68,,,,,,,,,,,,
,Crewen,BBL Esports,EMEA,Sentinel,S,7.5,6.5,16.00,5.67,0.92,0.68,7.00,27,8.00,0.84,0.62,,,,,,,,,,,,
,caedye,Detonation FocusMe,PAC,Sentinel,S,7.5,,,,,,6.00,30,6.00,0.87,0.69,,,,,,,,,,,,
,Free1ng,DRX,PAC,Sentinel,S,7.5,,,,,,8.00,33,7.83,1.03,0.68,,,,,,,,,,,,
,Jitboys,FULL SENSE,PAC,Sentinel,S,7.5,,,,,,7.50,20,4.60,0.87,0.58,,,,,,,,,,,,
,Yetujey,FUT Esports,EMEA,Sentinel,S,7.5,,,,,,8.50,13,4.33,0.89,0.58,,,,,,,,,,,,
,Vora,100 Thieves,AMER,Initiator,I,7.5,,,,,,6.50,29,7.13,0.99,0.65,,,,,,,,,,,,
,Xeppaa,Cloud9,AMER,Initiator,I,7.5,,,,,,7.50,36,8.00,1.04,0.68,,,,,,,,,,,,
,BeYN,DRX,PAC,Initiator,I,7.5,,,,,,9.00,29,6.67,0.98,0.64,,,,,,,,,,,,
,starxo,Gentle Mates,EMEA,Initiator,I,7.5,6.5,13.50,6.75,1.06,0.63,7.00,38,10.80,0.94,0.62,,,,,,,,,,,,
,Kr1stal,Global Esports,PAC,Initiator,I,7.5,,,,,,7.50,28,7.50,0.97,0.6,,,,,,,,,,,,
,purp0,Team Liquid,EMEA,Duelist,I,7.5,7,17.00,6.00,0.92,0.66,10.50,28,7.13,0.96,0.61,,,,,,,,,,,,
,XuNa,VARREL,PAC,Initiator,I,7.5,,,,,,7.50,21,7.00,1.05,0.71,,,,,,,,,,,,
,Eggsterr,ENVY,AMER,Duelist,D,7.5,,,,,,8.50,28,6.80,0.85,0.64,,,,,,,,,,,,
,Favian,Eternal Fire,EMEA,Duelist/Sentinel,D,7.5,,,,,,7.50,19,4.50,0.85,0.69,,,,,,,,,,,,
,cNed,PCIFIC Esports,EMEA,Duelist,D,7.5,,,,,,10.00,12,4.00,0.78,0.58,,,,,,,,,,,,
,kellyS,Team Secret,PAC,Duelist,D,7.5,,,,,,7.00,14,4.67,0.97,0.77,,,,,,,,,,,,
,Rimuru/Zeus,Team Secret,PAC,Duelist,D,7.5,,,,,,0.00,0,0.00,0,0,,,,,,,,,,,,
,Rossy,ENVY,AMER,Controller,C,7.5,,,,,,6.50,27,7.20,1.02,0.67,,,,,,,,,,,,
,Leviathan,FULL SENSE,PAC,Controller,C,7.5,,,,,,7.50,25,5.60,0.96,0.66,,,,,,,,,,,,
,GLYPH,Gentle Mates,EMEA,Controller,C,7.5,6.5,11.50,5.75,0.93,0.57,7.00,28,8.60,0.91,0.56,,,,,,,,,,,,
,xavi8k,Global Esports,PAC,Controller,C,7.5,,,,,,7.00,38,9.33,1.03,0.7,,,,,,,,,,,,
,silentzz,KRÜ Esports,AMER,Controller,C,7.5,,,,,,7.50,0,0.00,0,0,,,,,,,,,,,,
,Munchkin,T1,PAC,Controller,C,7.5,7.5,14.00,5.33,1.03,0.61,9.00,36,8.83,1.01,0.61,,,,,,,,,,,,
,nerve,FURIA,AMER,Sentinel,S,7,6,9.00,4.50,0.87,0.56,5.00,23,7.25,0.93,0.59,,,,,,,,,,,,
,Klaus,VARREL,PAC,Sentinel,S,7,,,,,,8.50,19,6.33,0.99,0.7,,,,,,,,,,,,
,Rosé,BBL Esports,EMEA,Initiator,I,7,6,10.00,4.00,0.74,0.52,5.50,26,8.25,0.88,0.6,,,,,,,,,,,,
,Hermes,DRX,PAC,Duelist,I,7,,,,,,10.50,23,6.33,0.85,0.61,,,,,,,,,,,,
,Flickless,GIANTX,EMEA,Sentinel,I,7,,,,,,7.50,29,6.20,1,0.67,,,,,,,,,,,,
,blowz,LEVIATÁN,AMER,Initiator,I,7,,,,,,8.00,20,4.80,0.93,0.61,,,,,,,,,,,,
,Chloric,Natus Vincere,EMEA,Initiator,I,7,,,,,,0.00,0,0.00,0,0,,,,,,,,,,,,
,seven,PCIFIC Esports,EMEA,Initiator,I,7,,,,,,7.00,25,8.33,1.13,0.75,,,,,,,,,,,,
,Stax,T1,PAC,Initiator,I,7,6.5,24.00,8.67,1.11,0.72,8.00,28,7.33,0.9,0.54,,,,,,,,,,,,
,Absol,ZETA DIVISION,PAC,Duelist,D,7,,,,,,9.50,17,4.25,0.85,0.68,,,,,,,,,,,,
,Boaster,FNATIC,EMEA,Controller,C,7,,,,,,7.00,21,4.43,0.77,0.47,,,,,,,,,,,,
,Ash,Gen.G,PAC,Controller,C,7,,,,,,9.50,21,6.25,0.95,0.55,,,,,,,,,,,,
,Grubinho,GIANTX,EMEA,Controller,C,7,,,,,,7.50,23,4.80,0.92,0.61,,,,,,,,,,,,
,crazyguy,Rex Regum Qeon,PAC,Controller,C,7,,,,,,7.00,29,7.20,0.85,0.57,,,,,,,,,,,,
,Boo,Team Heretics,EMEA,Controller,C,7,,,,,,7.00,23,5.00,0.97,0.59,,,,,,,,,,,,
,Bao,Evil Geniuses,AMER,Sentinel,S,6.5,,,,,,8.00,24,6.60,0.96,0.66,,,,,,,,,,,,
,al0rante,PCIFIC Esports,EMEA,Sentinel,S,6.5,,,,,,6.00,24,8.00,1.07,0.82,,,,,,,,,,,,
,Akame,Detonation FocusMe,PAC,Initiator,I,6.5,,,,,,7.50,33,6.29,0.96,0.62,,,,,,,,,,,,
,P0PPIN,ENVY,AMER,Initiator,I,6.5,,,,,,6.50,21,5.00,0.83,0.62,,,,,,,,,,,,
,nekky,Eternal Fire,EMEA,Initiator,I,6.5,,,,,,5.50,19,4.25,0.9,0.66,,,,,,,,,,,,
,qRaxs,FUT Esports,EMEA,Duelist,I,6.5,,,,,,,0,0.00,0,0,,,,,,,,,,,,
,mwzera,KRÜ Esports,AMER,Initiator,I,6.5,,,,,,6.50,0,0.00,0,0,,,,,,,,,,,,
,Darker,LOUD,AMER,Initiator,I,6.5,,,,,,7.50,10,3.33,0.92,0.67,,,,,,,,,,,,
,audaz,Eternal Fire,EMEA,Controller,C,6.5,,,,,,5.50,19,4.25,0.98,0.65,,,,,,,,,,,,
,supamen,Evil Geniuses,AMER,Controller,C,6.5,,,,,,6.50,33,7.40,1.04,0.64,,,,,,,,,,,,
,Crws,FULL SENSE,PAC,Initiator,C,6.5,,,,,,10.50,22,4.80,0.78,0.57,,,,,,,,,,,,
,MrFalin,FUT Esports,EMEA,Controller,C,6.5,,,,,,6.50,18,6.00,0.97,0.63,,,,,,,,,,,,
,Erde,LOUD,AMER,Controller,C,6.5,,,,,,,0,0.00,0,0,,,,,,,,,,,,
,oonzmlp,VARREL,PAC,Duelist,C,6.5,,,,,,8.50,14,4.67,0.81,0.56,,,,,,,,,,,,
,SugarZ3ro,ZETA DIVISION,PAC,Controller,C,6.5,,,,,,7.00,23,5.50,1.01,0.69,,,,,,,,,,,,
,Zellsis,Cloud9,AMER,Sentinel/Initiator,S,6,,,,,,6.50,28,5.00,0.83,0.49,,,,,,,,,,,,
,echo,Eternal Fire,EMEA,Sentinel,S,6,,,,,,0.00,0,0.00,0,0,,,,,,,,,,,,
,SyouTa,ZETA DIVISION,PAC,Sentinel,S,6,,,,,,5.50,15,3.50,0.8,0.57,,,,,,,,,,,,
,C0M,Evil Geniuses,AMER,Initiator,I,6,,,,,,6.50,20,4.80,0.9,0.55,,,,,,,,,,,,
,Krostaly,FUT Esports,EMEA,Controller,I,6,,,,,,6.50,11,3.67,0.68,0.55,,,,,,,,,,,,
,cauanzin,LOUD,AMER,Initiator,I,6,,,,,,6.50,7,2.33,0.79,0.58,,,,,,,,,,,,
,SSeeS,Detonation FocusMe,PAC,Controller,C,6,,,,,,5.50,25,4.43,0.91,0.57,,,,,,,,,,,,
,Saadhak,KRÜ Esports,AMER,Controller,C,6,,,,,,6.00,0,0.00,0,0,,,,,,,,,,,,
,BerserX,Team Secret,PAC,Sentinel,S,5.5,,,,,,5.50,10,3.33,0.94,0.65,,,,,,,,,,,,
,Lakia,Gen.G,PAC,Initiator,I,5.5,,,,,,7.50,17,4.50,0.86,0.54,,,,,,,,,,,,
,NINJA,PCIFIC Esports,EMEA,Initiator,I,5.5,,,,,,6.00,15,5.00,0.89,0.64,,,,,,,,,,,,
,Xdll,ZETA DIVISION,PAC,Initiator,I,5.5,,,,,,5.50,20,4.75,0.88,0.61,,,,,,,,,,,,
,Jessievash,Team Secret,PAC,Initiator,I,5,,,,,,5.00,12,4.00,0.94,0.71,,,,,,,,,,,,
,qpert,PCIFIC Esports,EMEA,Controller,C,5,,,,,,5.00,8,2.67,0.86,0.49,,,,,,,,,,,,
,Sylvan,Team Secret,PAC,Controller,C,5,,,,,,6.50,6,2.00,0.75,0.47,,,,,,,,,,,,
,C1ndeR,VARREL,PAC,Controller,C,5,,,,,,6.00,8,2.67,0.66,0.43,,,,,,,,,,,,