Player,Team,Region,Position,Price
Alym,FURIA,AMER,D,9.5
OXY,Cloud9,AMER,D,14
Sato,LEVIATÁN,AMER,D,14
Timotino,100 Thieves,AMER,D,10.5
Pxs,LEVIATÁN,AMER,D,10
Keiko,NRG Esports,AMER,C,13.5
Cryocells,100 Thieves,AMER,S,11
Zekken,MIBR,AMER,C,13.5
jawgemo,G2 Esports,AMER,D,14
Keznit,ENVY,AMER,D,11.5
aspas,MIBR,AMER,D,15
Spike,LEVIATÁN,AMER,C,8.5
valyn,G2 Esports,AMER,C,11.5
Bao,Evil Geniuses,AMER,S,8
Reduxx,Sentinels,AMER,D,10.5
mada,NRG Esports,AMER,D,14.5
N4RRATE,Sentinels,AMER,D,12
Lukxo,LOUD,AMER,S,10.5
Less,KRÜ Esports,AMER,S,9.5
leaf,G2 Esports,AMER,I,13
Cortezia,Sentinels,AMER,C,10.5
silentzz,KRÜ Esports,AMER,C,7.5
Darker,LOUD,AMER,I,7.5
virtyy,LOUD,AMER,D,9.5
mwzera,KRÜ Esports,AMER,I,6.5
Penny,Cloud9,AMER,D,8.5
brawk,NRG Esports,AMER,I,10.5
eeiu,FURIA,AMER,I,7
v1c,Cloud9,AMER,C,8.5
Okeanos,Evil Geniuses,AMER,D,9
Eggsterr,ENVY,AMER,D,8.5
skuba,NRG Esports,AMER,S,9.5
trent,G2 Esports,AMER,I,10.5
BABYBAY,G2 Esports,AMER,S,9
Asuna,100 Thieves,AMER,I,8
bang,100 Thieves,AMER,C,7.5
blowz,LEVIATÁN,AMER,I,8
kingg,LEVIATÁN,AMER,C,8
Cauanzin,LOUD,AMER,I,6.5
Zellsis,Cloud9,AMER,C,6.5
nerve,FURIA,AMER,C,5
Kyu,Sentinels,AMER,I,7.5
Ethan,NRG Esports,AMER,I,9.5
JohnQT,Sentinels,AMER,C,7.5
Mazino,MIBR,AMER,I,8
Dantedeu5,KRÜ Esports,AMER,D,10.5
P0PPIN,ENVY,AMER,I,6.5
Vora,100 Thieves,AMER,I,6.5
Inspire,ENVY,AMER,S,6
Tex,MIBR,AMER,S,8
C0M,Evil Geniuses,AMER,I,6.5
pancada,LOUD,AMER,C,6.5
supamen,Evil Geniuses,AMER,C,6.5
Saadhak,KRÜ Esports,AMER,C,6
Verno,MIBR,AMER,I,10
dgzin,Evil Geniuses,AMER,D,10.5
koalanoob,FURIA,AMER,S,6.5
Rossy,ENVY,AMER,C,6.5
bipo,Gentle Mates,EMEA,D,10.5
purp0,Team Liquid,EMEA,D,10.5
Ruxic,Natus Vincere,EMEA,C,11.5
Unfake,Team Vitality,EMEA,I,8.5
Derke,Team Vitality,EMEA,D,14
Kaajak,FNATIC,EMEA,D,15
Wo0t,Team Heretics,EMEA,D,13.5
nAts,Team Liquid,EMEA,S,12.5
hiro,Natus Vincere,EMEA,S,9.5
Alfajer,FNATIC,EMEA,D,14.5
Lovers rock,BBL Esports,EMEA,D,9.5
Miniboo,Team Liquid,EMEA,D,12.5
RieNs,Team Heretics,EMEA,I,12.5
SUYGETSU,Karmine Corp,EMEA,C,10.5
cNed,PCIFIC Espor,EMEA,D,10
al0rante,PCIFIC Espor,EMEA,C,6
Demur,ULF Esports,EMEA,D,8.5
Marteen,Gentle Mates,EMEA,D,10
Avez,Karmine Corp,EMEA,I,10.5
Comeback,Team Heretics,EMEA,D,12.5
LewN,Karmine Corp,EMEA,D,11.5
ara,GIANTX,EMEA,D,13
seven,PCIFIC Espor,EMEA,S,7
Favian,ULF Esports,EMEA,I,7.5
Lar0k,BBL Esports,EMEA,D,8.5
kamo,Team Liquid,EMEA,I,9
xeus,FUT Esports,EMEA,D,10.5
Crewen,BBL Esports,EMEA,S,7
GLYPH,Gentle Mates,EMEA,C,7
Westside,GIANTX,EMEA,S,8.5
Dos9,Karmine Corp,EMEA,C,8.5
Loita,BBL Esports,EMEA,C,8
NINJA,PCIFIC Espor,EMEA,I,6
SociablEE,Natus Vincere,EMEA,I,8
Yetujey,FUT Esports,EMEA,S,8.5
Minny,Gentle Mates,EMEA,S,8
Benjyfishy,Team Heretics,EMEA,S,9
Veqaj,FNATIC,EMEA,C,8.5
Grubinho,GIANTX,EMEA,C,7.5
PROFEK,Team Vitality,EMEA,C,9
Crashies,FNATIC,EMEA,I,10
Filu,Natus Vincere,EMEA,D,9
Flickless,GIANTX,EMEA,I,7.5
starxo,Gentle Mates,EMEA,I,7
audaz,ULF Esports,EMEA,C,5.5
cloud,GIANTX,EMEA,I,8
Shao,Natus Vincere,EMEA,I,7.5
qpert,PCIFIC Espor,EMEA,C,5
Rosé,BBL Esports,EMEA,I,5.5
nekky,ULF Esports,EMEA,I,5.5
MrFalin,FUT Esports,EMEA,I,6.5
KROSTALY,FUT Esports,EMEA,I,6
Boo,Team Heretics,EMEA,C,7
Boaster,FNATIC,EMEA,C,7
Sheydos,Karmine Corp,EMEA,I,7
Meiy,Detonation FocusMe,PAC,D,12.5
eko,ZETA DIVISION,PAC,D,8.5
Absol,ZETA DIVISION,PAC,D,9.5
something,Paper Rex,PAC,D,15
HYUNMIN,DRX,PAC,D,14
Jemkin,Rex Regum Qeon,PAC,D,13.5
Udotan,Global Esports,PAC,D,10.5
Jinggg,Paper Rex,PAC,D,14.5
Primmie,FULL SENSE,PAC,D,13
Dambi,Nongshim RedForce,PAC,D,11
Thyy,FULL SENSE,PAC,D,10.5
Leviathan,FULL SENSE,PAC,C,7.5
f0rsaken,Paper Rex,PAC,C,14
Meteor,T1,PAC,S,13
t3xture,Gen.G,PAC,D,14.5
Monyet,Rex Regum Qeon,PAC,C,8.5
oonzmlp,VARREL,PAC,D,8.5
Zexy,VARREL,PAC,D,10.5
Hermes,DRX,PAC,D,10.5
Killua,FULL SENSE,PAC,I,8.5
SugarZ3ro,ZETA DIVISION,PAC,C,7
XuNa,VARREL,PAC,I,7.5
d4v41,Paper Rex,PAC,S,11.5
Buzz,T1,PAC,D,13.5
iZu,T1,PAC,D,11.5
invy,Paper Rex,PAC,I,11
ZynX,Gen.G,PAC,D,9.5
Karon,Gen.G,PAC,S,9.5
Klaus,VARREL,PAC,S,8.5
Francis,Nongshim RedForce,PAC,D,8
Xdll,ZETA DIVISION,PAC,I,5.5
Xffero,Rex Regum Qeon,PAC,S,7.5
Akame,Detonation FocusMe,PAC,D,7.5
Kr1stal,Global Esports,PAC,I,7.5
Caedye,Detonation FocusMe,PAC,C,6
Munchkin,T1,PAC,C,9
MaKo,DRX,PAC,C,8.5
Ash,Gen.G,PAC,C,9.5
Rb,Nongshim RedForce,PAC,I,7.5
BerserX,Team Secret,PAC,S,5.5
TenTen,Team Secret,PAC,D,7.5
Jitboys,FULL SENSE,PAC,S,7.5
Free1ng,DRX,PAC,S,8
Ivy,Nongshim RedForce,PAC,S,7
kellyS,Team Secret,PAC,D,7
Patmen,Global Esports,PAC,S,7.5
Xross,Nongshim RedForce,PAC,C,7.5
crazyguy,Rex Regum Qeon,PAC,I,7
Kushy,Rex Regum Qeon,PAC,I,7.5
Stax,T1,PAC,I,8
C1ndeR,VARREL,PAC,C,6
SSeeS,Detonation FocusMe,PAC,I,5.5
Sylvan,Team Secret,PAC,C,6.5
Beyn,DRX,PAC,I,9
SyouTa,ZETA DIVISION,PAC,S,5.5
Yatsuka,Detonation FocusMe,PAC,S,6
Lakia,Gen.G,PAC,I,7.5
Autumn - AUS,Global Esports,PAC,D,9.5
